Date,Product Name,Quantity
2021-06-25,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-06-29,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-07-03,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-07-04,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-07-07,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-07-08,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-07-14,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2021-07-15,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-07-17,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-07-22,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2021-07-28,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-08-02,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2021-08-04,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-08-05,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-08-06,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-08-12,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-08-13,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-08-20,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-08-22,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-08-27,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-09-07,Food Fairy Mini Feta &amp; Coriander Samosas x 8,5
2021-09-10,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2021-09-11,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-09-17,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2021-09-24,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2021-09-25,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-09-27,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-10-01,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-10-04,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-10-05,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-10-12,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2021-10-13,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-10-17,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
