Date,Product Name,Quantity
2019-11-01,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2019-11-03,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-11-05,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-11-06,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2019-11-07,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2019-11-08,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-11-09,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-11-10,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-11-11,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-11-13,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-11-14,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2019-11-15,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-11-21,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),6
2019-11-22,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-11-24,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-11-25,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-11-26,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-12-01,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-12-05,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-12-07,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-12-08,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-12-09,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-12-10,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2019-12-11,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-12-19,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-12-20,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),8
2020-01-06,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-01-10,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-01-13,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),5
2020-01-15,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2020-01-17,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-01-20,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-01-21,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-01-23,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-01-24,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-01-27,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-01-30,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-01-31,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-02-03,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2020-02-05,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-02-06,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-02-07,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-02-10,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-02-12,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-02-14,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-02-20,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-02-21,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-02-24,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-03-02,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),6
2020-03-03,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-03-16,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),10
2020-03-18,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-03-20,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),5
2020-03-23,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),13
2020-04-03,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2020-04-06,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),12
2020-04-09,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),9
2020-04-23,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),5
2020-04-25,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2020-04-26,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
