Date,Product Name,Quantity
2019-07-17,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-07-18,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2019-07-20,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,6
2019-07-21,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-07-25,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2019-07-26,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-07-28,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-07-29,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2019-07-30,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-07-31,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2019-08-06,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-08-07,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-08-11,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-08-12,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-08-15,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,6
2019-08-20,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-08-21,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2019-08-23,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2019-08-25,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-08-27,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-08-28,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-08-30,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-08-31,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-09-01,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2019-09-03,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-09-04,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-09-05,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-09-06,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-09-08,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-09-09,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-09-12,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,7
2019-09-17,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-09-18,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,11
2019-09-19,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2019-09-20,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-09-22,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,12
2019-09-24,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-09-25,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,8
2019-09-26,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,5
2019-09-28,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-09-30,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-10-01,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-10-04,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2019-10-05,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-10-06,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-10-07,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,5
2019-10-09,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-10-11,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-10-17,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-10-21,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-10-23,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,10
2019-10-27,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-10-31,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-11-01,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-11-02,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2019-11-04,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-11-29,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-12-02,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,14
2019-12-03,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-12-06,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-12-15,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-12-20,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-12-23,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,10
2019-12-31,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2020-01-06,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,6
2020-01-30,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2020-01-31,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-02-01,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-02-03,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,5
2020-02-10,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-02-14,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,7
2020-02-21,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-02-25,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2020-02-26,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,4
2020-02-27,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-03-02,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-03-13,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-03-14,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-03-16,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,9
2020-03-26,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2020-04-01,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,10
2020-04-03,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-04-09,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,9
2020-04-14,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,9
2020-04-15,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-04-18,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2020-04-20,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-04-22,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-04-23,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,16
2020-04-24,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-04-25,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,5
