Date,Product Name,Quantity
2020-09-14,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,4
2020-09-17,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-09-23,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,2
2020-09-24,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,3
2020-09-26,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-10-01,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-10-02,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,2
2020-10-06,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-10-07,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-10-15,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-10-16,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-10-21,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,2
2020-10-23,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,2
2020-10-28,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-11-05,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,4
2020-11-11,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-11-12,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-11-16,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,5
2020-11-27,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-12-09,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,2
2020-12-14,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,7
2020-12-20,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,2
2020-12-28,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2021-01-06,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,4
2021-01-21,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2021-02-03,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,3
2021-02-06,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,2
2021-02-16,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,4
2021-02-17,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2021-02-18,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2021-02-20,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2021-02-24,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2021-02-26,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2021-03-05,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2021-03-11,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,3
2021-03-15,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,2
2021-03-20,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-03-22,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,2
2021-03-26,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,3
2021-03-29,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-03-31,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-04-05,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-04-08,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-04-14,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-04-21,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-04-30,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,3
2021-05-05,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,3
2021-05-10,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-05-14,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-05-20,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-05-25,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,2
2021-06-16,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-07-08,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-07-16,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,4
2021-08-12,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,2
2021-09-10,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-09-15,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-10-01,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-10-12,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,2
2021-10-13,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-10-27,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-10-31,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-11-05,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-11-09,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-11-13,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-11-15,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,2
2021-11-18,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,10
2021-11-23,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-12-16,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2021-12-21,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,2
2022-01-13,Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2022-01-13,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,2
2022-01-19,Maize Tortilla Chips - Sukuma & Moringa - 40g,5
2022-01-19,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,5
2022-01-20,Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2022-01-20,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2022-01-27,Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2022-01-27,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2022-02-03,Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2022-02-03,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,2
2022-02-07,Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2022-02-07,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,2
2022-02-20,Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2022-02-20,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,2
2022-02-25,Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2022-02-25,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2022-03-02,Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2022-03-02,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2022-04-08,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2022-05-17,Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2022-09-22,Maize Tortilla Chips - Sukuma & Moringa - 40g,3
2022-09-25,Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2022-09-27,Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2022-10-02,Maize Tortilla Chips - Sukuma & Moringa - 40g,4
2022-10-06,Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2022-10-07,Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2022-10-30,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2022-11-10,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2022-11-16,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2022-12-17,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2022-12-22,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2022-12-23,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2023-01-11,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2023-01-26,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2023-02-03,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2023-02-10,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2023-02-12,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2023-02-20,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2023-03-01,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2023-03-17,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,4
2023-03-24,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2023-04-16,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2023-04-26,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2023-05-07,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2023-05-17,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2023-05-29,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2023-11-05,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2023-11-11,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2023-11-12,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,4
2023-11-14,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2023-11-17,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2023-12-05,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2023-12-11,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,4
2023-12-19,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2023-12-20,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,3
2023-12-21,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2023-12-28,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2023-12-30,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2024-01-04,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2024-01-08,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2024-01-26,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2024-01-29,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2024-01-30,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2024-02-02,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2024-02-05,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2024-02-09,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2024-03-10,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2024-03-11,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2024-03-13,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2024-03-18,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2024-03-19,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,3
2024-03-25,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2024-03-28,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2024-03-31,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2024-04-02,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2024-04-05,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2024-04-06,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2024-04-14,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2024-04-15,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2024-04-29,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2024-05-02,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2024-05-04,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2024-05-06,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2024-05-13,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,5
2024-05-15,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2024-05-20,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2024-05-21,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,4
2024-06-02,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2024-06-04,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2024-06-25,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,4
2024-07-01,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2024-07-06,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2024-07-10,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2024-07-12,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,2
2024-07-13,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,4
2024-07-17,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,4
2024-07-18,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,3
2024-07-26,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,1
2024-07-27,Bdelo Maize Tortilla Chips - Sukuma & Moringa - 40g,2
