Date,Product Name,Quantity
2020-12-28,Grounded Windows &amp; Mirrors - 500ml,2
2021-01-03,Grounded Windows &amp; Mirrors - 500ml,1
2021-01-06,Grounded Windows &amp; Mirrors - 500ml,1
2021-01-08,Grounded Windows &amp; Mirrors - 500ml,1
2021-01-14,Grounded Windows &amp; Mirrors - 500ml,2
2021-01-15,Grounded Windows &amp; Mirrors - 500ml,1
2021-01-21,Grounded Windows &amp; Mirrors - 500ml,2
2021-01-28,Grounded Windows &amp; Mirrors - 500ml,4
2021-02-03,Grounded Windows &amp; Mirrors - 500ml,1
2021-02-04,Grounded Windows &amp; Mirrors - 500ml,1
2021-02-24,Grounded Windows &amp; Mirrors - 500ml,3
2021-02-25,Grounded Windows &amp; Mirrors - 500ml,1
2021-02-28,Grounded Windows &amp; Mirrors - 500ml,1
2021-03-02,Grounded Windows &amp; Mirrors - 500ml,1
2021-03-05,Grounded Windows &amp; Mirrors - 500ml,1
2021-03-09,Grounded Windows &amp; Mirrors - 500ml,4
2021-03-20,Grounded Windows &amp; Mirrors - 500ml,1
2021-03-23,Grounded Windows &amp; Mirrors - 500ml,1
2021-03-24,Grounded Windows &amp; Mirrors - 500ml,1
2021-03-26,Grounded Windows &amp; Mirrors - 500ml,2
2021-03-31,Grounded Windows &amp; Mirrors - 500ml,4
2021-04-07,Grounded Windows &amp; Mirrors - 500ml,1
2021-04-09,Grounded Windows &amp; Mirrors - 500ml,1
2021-04-13,Grounded Windows &amp; Mirrors - 500ml,2
2021-04-14,Grounded Windows &amp; Mirrors - 500ml,1
2021-04-21,Grounded Windows &amp; Mirrors - 500ml,1
2021-04-23,Grounded Windows &amp; Mirrors - 500ml,2
2021-04-30,Grounded Windows &amp; Mirrors - 500ml,2
2021-05-03,Grounded Windows &amp; Mirrors - 500ml,2
2021-05-04,Grounded Windows &amp; Mirrors - 500ml,1
2021-05-08,Grounded Windows &amp; Mirrors - 500ml,1
2021-05-28,Grounded Windows &amp; Mirrors - 500ml,1
2021-06-02,Grounded Windows &amp; Mirrors - 500ml,1
2021-06-07,Grounded Windows &amp; Mirrors - 500ml,1
2021-06-09,Grounded Windows &amp; Mirrors - 500ml,1
2021-06-16,Grounded Windows &amp; Mirrors - 500ml,1
2021-06-18,Grounded Windows &amp; Mirrors - 500ml,1
