Date,Product Name,Quantity
2021-06-04,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-06-08,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-06-16,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-06-24,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2021-07-04,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-07-07,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-07-14,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-07-22,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-07-28,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-08-06,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-08-20,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2021-08-21,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-08-27,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-09-03,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-09-07,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,3
2021-09-08,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-09-18,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-09-24,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-09-25,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2021-09-27,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-09-29,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-10-01,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-10-02,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-10-04,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-10-11,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-10-12,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-10-15,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-10-17,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2021-10-18,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-10-26,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
